uf,uf_codigo,ano,populacao,fonte,metodo
RN,24,2024,3636783,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2025,3660428,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2026,3683162,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2015,3932537,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2016,3953693,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2017,3974437,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2018,3996496,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2019,4018127,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2020,4039277,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2021,4059905,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2022,4079917,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2023,4099203,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2024,4117682,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2025,4135286,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PB,25,2026,4151945,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2015,9317744,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2016,9377368,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
